mileage,avg_fuel_consumption,price,age,mileage/age,transmission_type_Düz,transmission_type_Otomatik,transmission_type_Yarı Otomatik,changed,painted
164000,1,565000,10,16400,True,False,False,2,5
66000,0,725000,6,11000,False,False,True,1,0
114500,1,729750,8,14312,True,False,False,0,0
208000,1,587500,10,20800,True,False,False,1,2
267000,3,505000,12,22250,True,False,False,0,0
232000,2,449000,14,16571,True,False,False,1,4
26000,1,800000,7,3714,True,False,False,3,1
93500,1,775000,9,10388,True,False,False,0,0
199000,4,599997,11,18090,True,False,False,0,1
192000,1,650000,9,21333,True,False,False,1,0
163213,4,664000,11,14837,True,False,False,0,0
80000,1,775000,8,10000,True,False,False,0,1
69000,1,518000,9,7666,True,False,False,3,8
135000,4,725000,8,16875,False,True,False,0,2
318000,4,419000,11,28909,True,False,False,1,1
237000,4,620000,8,29625,False,True,False,0,0
181000,4,420000,11,16454,True,False,False,2,7
77000,4,848800,7,11000,False,True,False,1,3
215000,1,615000,8,26875,True,False,False,0,2
220000,1,579900,8,27500,True,False,False,2,0
188000,1,659000,8,23500,True,False,False,0,1
177000,4,467500,11,16090,True,False,False,1,1
900000,1,380000,8,112500,True,False,False,1,0
183000,4,615000,6,30500,False,True,False,1,4
166000,1,567500,12,13833,True,False,False,3,7
220000,1,465000,11,20000,True,False,False,0,2
110000,1,700000,9,12222,True,False,False,0,2
168000,3,670000,11,15272,True,False,False,0,0
218000,1,585000,8,27250,True,False,False,1,1
198000,3,530000,12,16500,True,False,False,1,3
58000,1,805000,7,8285,True,False,False,0,0
127000,1,638000,8,15875,True,False,False,1,2
127000,1,638000,8,15875,True,False,False,1,2
162000,1,440000,11,14727,True,False,False,0,8
154000,1,635000,9,17111,True,False,False,2,1
99000,1,639000,9,11000,True,False,False,1,0
184000,2,540000,13,14153,True,False,False,0,1
195700,2,465000,14,13978,True,False,False,1,3
212000,3,525000,11,19272,True,False,False,2,4
89000,1,825000,7,12714,True,False,False,0,0
187000,1,650000,11,17000,True,False,False,0,0
210000,0,660000,7,30000,False,False,True,2,4
125456,1,690000,9,13939,True,False,False,0,1
90000,0,840000,6,15000,False,False,True,0,0
110000,1,785000,7,15714,True,False,False,0,0
79000,4,855000,7,11285,False,True,False,0,0
120000,1,700000,8,15000,True,False,False,1,0
198000,4,535000,11,18000,True,False,False,0,0
165000,1,745000,8,20625,True,False,False,0,0
92000,1,770000,8,11500,True,False,False,0,0
79000,1,833500,7,11285,True,False,False,0,0
93000,1,875000,7,13285,True,False,False,0,0
265000,0,605000,8,33125,False,False,True,0,0
123500,1,760000,9,13722,True,False,False,0,0
96000,1,620000,11,8727,True,False,False,2,0
158500,3,570000,12,13208,True,False,False,0,1
119000,1,678500,8,14875,True,False,False,1,1
140000,1,665000,10,14000,True,False,False,0,0
80000,1,755000,7,11428,True,False,False,0,1
152000,1,785000,6,25333,True,False,False,0,0
199000,1,665000,7,28428,True,False,False,0,0
98500,1,758000,8,12312,True,False,False,0,0
295500,4,505000,11,26863,True,False,False,0,3
405000,1,329000,11,36818,True,False,False,0,1
204000,1,559000,9,22666,True,False,False,0,2
96000,1,760000,8,12000,True,False,False,0,0
238000,4,539500,11,21636,True,False,False,1,5
186785,1,615000,8,23348,True,False,False,2,6
79842,1,880000,7,11406,True,False,False,0,0
176000,1,695000,9,19555,True,False,False,0,0
96000,1,785000,8,12000,True,False,False,0,0
185000,1,675000,6,30833,True,False,False,2,1
260000,1,455000,10,26000,True,False,False,0,0
126000,1,811750,7,18000,True,False,False,0,0
180000,1,460000,8,22500,True,False,False,0,0
109000,4,645000,12,9083,True,False,False,0,0
119000,1,799900,7,17000,True,False,False,0,0
125000,4,700000,9,13888,True,False,False,0,1
84688,0,830000,7,12098,False,False,True,0,3
187000,3,585000,12,15583,True,False,False,0,2
240000,1,555000,9,26666,True,False,False,2,1
167000,1,685000,8,20875,True,False,False,0,0
150000,3,575000,12,12500,True,False,False,0,0
141000,1,600000,7,20142,True,False,False,4,0
96500,1,850000,7,13785,True,False,False,0,3
169000,1,745000,7,24142,True,False,False,0,2
155000,1,655000,8,19375,True,False,False,1,2
168000,1,685000,8,21000,True,False,False,1,0
225000,1,580000,9,25000,True,False,False,1,1
370000,2,450000,12,30833,True,False,False,0,2
105000,1,700000,11,9545,True,False,False,0,0
82500,0,835000,8,10312,False,False,True,1,1
170000,1,725000,7,24285,True,False,False,0,2
146000,1,665000,10,14600,True,False,False,0,0
142000,4,589900,12,11833,True,False,False,0,2
60000,0,850000,8,7500,False,False,True,0,0
168000,1,763000,8,21000,True,False,False,0,1
235000,1,520000,7,33571,True,False,False,0,0
223000,1,480000,12,18583,True,False,False,1,3
70000,1,500000,10,7000,True,False,False,0,1
98850,1,695000,10,9885,True,False,False,0,0
230000,3,500000,11,20909,True,False,False,0,4
146000,2,565000,13,11230,True,False,False,1,0
137250,1,811500,7,19607,True,False,False,0,0
335000,3,399000,12,27916,True,False,False,1,2
414000,1,550000,5,82800,True,False,False,0,1
144000,1,710000,7,20571,True,False,False,0,1
152000,1,680000,10,15200,True,False,False,0,0
148000,4,555000,12,12333,True,False,False,0,2
382000,1,429500,9,42444,True,False,False,0,2
289000,1,610000,6,48166,True,False,False,2,4
144500,4,662500,11,13136,True,False,False,0,0
138000,4,795000,6,23000,False,True,False,0,0
88000,4,855000,7,12571,False,True,False,0,0
218000,4,585000,11,19818,True,False,False,0,1
191000,4,638000,11,17363,True,False,False,0,0
269000,1,700000,8,33625,True,False,False,0,2
146000,1,700000,9,16222,True,False,False,0,0
