listing_date,year,mileage,transmission_type,color,avg_fuel_consumption,paint_changed,seller_type,price,heavy_damage
14 Mayıs 2025,2012,142.000 km,Düz,Kırmızı,,2 boyalı,Galeriden,589.900 TL,No
14 Mayıs 2025,2016,60.000 km,Yarı Otomatik,Siyah,"3,8 lt",Tamamı orjinal,Sahibinden,850.000 TL,No
13 Mayıs 2025,2016,168.000 km,Düz,Beyaz,4 lt,Belirtilmemiş,Galeriden,763.000 TL,No
13 Mayıs 2025,2017,235.000 km,Düz,Füme,4 lt,Tamamı orjinal,Sahibinden,520.000 TL,No
13 Mayıs 2025,2012,223.000 km,Düz,Gri,4 lt,Belirtilmemiş,Sahibinden,480.000 TL,No
13 Mayıs 2025,2014,70.000 km,Düz,Bordo,4 lt,1 boyalı,Sahibinden,500.000 TL,No
13 Mayıs 2025,2014,98.850 km,Düz,Gri (Gümüş),4 lt,Belirtilmemiş,Sahibinden,695.000 TL,No
13 Mayıs 2025,2013,230.000 km,Düz,Mavi,5 lt,4 boyalı,Sahibinden,500.000 TL,Evet
13 Mayıs 2025,2011,146.000 km,Düz,Gri,"4,5 lt",1 değişen,Galeriden,565.000 TL,No
13 Mayıs 2025,2017,137.250 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Galeriden,811.500 TL,No
12 Mayıs 2025,2012,335.000 km,Düz,Füme,5 lt,"1 değişen, 2 boyalı",Sahibinden,399.000 TL,No
12 Mayıs 2025,2019,414.000 km,Düz,Füme,4 lt,1 boyalı,Sahibinden,550.000 TL,No
12 Mayıs 2025,2017,144.000 km,Düz,Füme,4 lt,1 boyalı,Sahibinden,710.000 TL,No
12 Mayıs 2025,2014,152.000 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Sahibinden,680.000 TL,No
12 Mayıs 2025,2012,148.000 km,Düz,Gri,,2 boyalı,Galeriden,555.000 TL,No
12 Mayıs 2025,2015,382.000 km,Düz,Gri,4 lt,2 boyalı,Galeriden,429.500 TL,No
12 Mayıs 2025,2018,289.000 km,Düz,Mavi,4 lt,"2 değişen, 4 boyalı",Galeriden,610.000 TL,No
12 Mayıs 2025,2013,144.500 km,Düz,Kırmızı,,Tamamı orjinal,Galeriden,662.500 TL,No
11 Mayıs 2025,2018,138.000 km,Otomatik,Gri,,Tamamı orjinal,Galeriden,795.000 TL,No
11 Mayıs 2025,2017,88.000 km,Otomatik,Mavi,,Tamamı orjinal,Galeriden,855.000 TL,No
11 Mayıs 2025,2013,218.000 km,Düz,Siyah,,1 boyalı,Galeriden,585.000 TL,No
11 Mayıs 2025,2013,191.000 km,Düz,Kırmızı,,Tamamı orjinal,Galeriden,638.000 TL,No
11 Mayıs 2025,2016,269.000 km,Düz,Gri,4 lt,Belirtilmemiş,Galeriden,700.000 TL,No
11 Mayıs 2025,2015,146.000 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Galeriden,700.000 TL,No
