yas,kilometre,ort_yakit_tuketimi,fiyat,kilometre/yas,vites_tipi_duz,vites_tipi_otomatik,vites_tipi_yari_otomatik,degisen,boyali
9,218000,4.0,580000,24222,True,False,False,0,2
7,151000,3.8,730000,21571,False,False,True,0,2
8,145000,4.0,410000,18125,True,False,False,0,13
7,165000,4.0,649000,23571,True,False,False,0,0
7,205000,4.0,575000,29285,True,False,False,1,0
11,164000,5.0,565000,14909,True,False,False,0,3
7,83000,4.0,680000,11857,True,False,False,1,0
11,254500,5.0,490000,23136,True,False,False,1,2
9,193500,4.0,575000,21500,True,False,False,1,0
10,212000,4.0,505000,21200,True,False,False,1,3
8,126000,4.0,625000,15750,True,False,False,1,3
8,120250,4.0,710000,15031,True,False,False,0,0
9,215000,4.0,590000,23888,True,False,False,1,0
9,125000,4.0,685000,13888,True,False,False,0,0
8,90000,4.0,680000,11250,True,False,False,0,0
12,133000,5.0,575000,11083,True,False,False,0,0
12,114000,5.0,480000,9500,True,False,False,2,9
8,173000,3.8,590000,21625,False,False,True,1,0
9,163000,4.0,620000,18111,True,False,False,0,0
9,77000,4.0,685000,8555,True,False,False,0,0
11,150000,5.0,570000,13636,True,False,False,0,0
7,137000,3.9,689000,19571,False,True,False,0,2
9,164000,4.0,570000,18222,True,False,False,3,0
8,137000,4.0,679500,17125,True,False,False,0,0
9,116000,4.0,475000,12888,True,False,False,1,3
12,207000,4.3,510000,17250,True,False,False,0,0
10,164000,4.0,565000,16400,True,False,False,2,5
6,66000,3.8,725000,11000,False,False,True,1,0
